1PE 1:1.1 Πέτρος N-NSM 4074 Πέτρος ! Πέτρος
1PE 1:1.2 ἀπόστολος N-NSM 652 ἀπόστολος ! ἀπόστολος
1PE 1:1.3 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1PE 1:1.4 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
1PE 1:1.5 ἐκλεκτοῖς A-DPM 1588 ἐκλεκτός ! ἐκλεκτός
1PE 1:1.6 παρεπιδήμοις A-DPM 3927 παρεπίδημος ! παρεπίδημος
1PE 1:1.7 διασπορᾶς N-GSF 1290 διασπορά ! διασπορά
1PE 1:1.8 Πόντου, N-GSM 4195 Πόντος ! Πόντος
1PE 1:1.9 Γαλατίας, N-GSF 1053 Γαλατία ! Γαλατία
1PE 1:1.10 Καππαδοκίας, N-GSF 2587 Καππαδοκία ! Καππαδοκία
1PE 1:1.11 Ἀσίας, N-GSF 773 Ἀσία ! Ἀσία
1PE 1:1.12 καὶ CONJ 2532 καί ! καί
1PE 1:1.13 Βιθυνίας, N-GSF 978 Βιθυνία ! Βιθυνία
1PE 1:2.1 κατὰ PREP 2596 κατά ! κατά
1PE 1:2.2 πρόγνωσιν N-ASF 4268 πρόγνωσις ! πρόγνωσις
1PE 1:2.3 θεοῦ N-GSM 2316 θεός ! θεός
1PE 1:2.4 πατρός, N-GSM 3962 πατήρ ! πατήρ
1PE 1:2.5 ἐν PREP 1722 ἐν ! ἐν
1PE 1:2.6 ἁγιασμῷ N-DSM 38 ἁγιασμός ! ἁγιασμός
1PE 1:2.7 πνεύματος, N-GSN 4151 πνεῦμα ! πνεῦμα
1PE 1:2.8 εἰς PREP 1519 εἰς ! εἰς
1PE 1:2.9 ὑπακοὴν N-ASF 5218 ὑπακοή ! ὑπακοή
1PE 1:2.10 καὶ CONJ 2532 καί ! καί
1PE 1:2.11 ῥαντισμὸν N-ASM 4473 ῥαντισμός ! ῥαντισμός
1PE 1:2.12 αἵματος N-GSN 129 αἷμα ! αἷμα
1PE 1:2.13 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1PE 1:2.14 Χριστοῦ· N-GSM 5547 Χριστός ! Χριστός
1PE 1:2.15 χάρις N-NSF 5485 χάρις ! χάρις
1PE 1:2.16 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1PE 1:2.17 καὶ CONJ 2532 καί ! καί
1PE 1:2.18 εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
1PE 1:2.19 πληθυνθείη. V-APO-3S 4129 πληθύνω ! πληθύνω
1PE 1:3.1 Εὐλογητὸς A-NSM 2128 εὐλογητός ! εὐλογητός
1PE 1:3.2 ὁ T-NSM 3588 ὁ ! ὁ
1PE 1:3.3 θεὸς N-NSM 2316 θεός ! θεός
1PE 1:3.4 καὶ CONJ 2532 καί ! καί
1PE 1:3.5 πατὴρ N-NSM 3962 πατήρ ! πατήρ
1PE 1:3.6 τοῦ T-GSM 3588 ὁ ! ὁ
1PE 1:3.7 κυρίου N-GSM 2962 κύριος ! κύριος
1PE 1:3.8 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
1PE 1:3.9 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1PE 1:3.10 Χριστοῦ, N-GSM 5547 Χριστός ! Χριστός
1PE 1:3.11 ὁ T-NSM 3588 ὁ ! ὁ
1PE 1:3.12 κατὰ PREP 2596 κατά ! κατά
1PE 1:3.13 τὸ T-ASN 3588 ὁ ! ὁ
1PE 1:3.14 πολὺ A-ASN 4183 πολύς ! πολύς
1PE 1:3.15 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
1PE 1:3.16 ἔλεος N-ASN 1656 ἔλεος ! ἔλεος
1PE 1:3.17 ἀναγεννήσας V-AAP-NSM 313 ἀναγεννάω ! ἀναγεννάω
1PE 1:3.18 ἡμᾶς P-1AP 2248 ἡμᾶς ! ἐγώ
1PE 1:3.19 εἰς PREP 1519 εἰς ! εἰς
1PE 1:3.20 ἐλπίδα N-ASF 1680 ἐλπίς ! ἐλπίς
1PE 1:3.21 ζῶσαν V-PAP-ASF 2198 ζάω ! ζάω
1PE 1:3.22 δι’ PREP 1223 διά ! διά
1PE 1:3.23 ἀναστάσεως N-GSF 386 ἀνάστασις ! ἀνάστασις
1PE 1:3.24 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1PE 1:3.25 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
1PE 1:3.26 ἐκ PREP 1537 ἐκ ! ἐκ
1PE 1:3.27 νεκρῶν, A-GPM 3498 νεκρός ! νεκρός
1PE 1:4.1 εἰς PREP 1519 εἰς ! εἰς
1PE 1:4.2 κληρονομίαν N-ASF 2817 κληρονομία ! κληρονομία
1PE 1:4.3 ἄφθαρτον A-ASF 862 ἄφθαρτος ! ἄφθαρτος
1PE 1:4.4 καὶ CONJ 2532 καί ! καί
1PE 1:4.5 ἀμίαντον A-ASF 283 ἀμίαντος ! ἀμίαντος
1PE 1:4.6 καὶ CONJ 2532 καί ! καί
1PE 1:4.7 ἀμάραντον, A-ASF 263 ἀμάραντος ! ἀμάραντος
1PE 1:4.8 τετηρημένην V-RPP-ASF 5083 τηρέω ! τηρέω
