2PE 1:1.1 Συμεὼν N-PRI 4826 Συμεών ! Συμεών
2PE 1:1.2 Πέτρος N-NSM 4074 Πέτρος ! Πέτρος
2PE 1:1.3 δοῦλος N-NSM 1401 δοῦλος ! δοῦλος (2)
2PE 1:1.4 καὶ CONJ 2532 καί ! καί
2PE 1:1.5 ἀπόστολος N-NSM 652 ἀπόστολος ! ἀπόστολος
2PE 1:1.6 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:1.7 Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
2PE 1:1.8 τοῖς T-DPM 3588 ὁ ! ὁ
2PE 1:1.9 ἰσότιμον A-ASF 2472 ἰσότιμος ! ἰσότιμος
2PE 1:1.10 ἡμῖν P-1DP 2248 ἡμᾶς ! ἐγώ
2PE 1:1.11 λαχοῦσιν V-2AAP-DPM 2975 λαγχάνω ! λαγχάνω
2PE 1:1.12 πίστιν N-ASF 4102 πίστις ! πίστις
2PE 1:1.13 ἐν PREP 1722 ἐν ! ἐν
2PE 1:1.14 δικαιοσύνῃ N-DSF 1343 δικαιοσύνη ! δικαιοσύνη
2PE 1:1.15 τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:1.16 θεοῦ N-GSM 2316 θεός ! θεός
2PE 1:1.17 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2PE 1:1.18 καὶ CONJ 2532 καί ! καί
2PE 1:1.19 σωτῆρος N-GSM 4990 σωτήρ ! σωτήρ
2PE 1:1.20 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:1.21 Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
2PE 1:2.1 χάρις N-NSF 5485 χάρις ! χάρις
2PE 1:2.2 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2PE 1:2.3 καὶ CONJ 2532 καί ! καί
2PE 1:2.4 εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
2PE 1:2.5 πληθυνθείη V-APO-3S 4129 πληθύνω ! πληθύνω
2PE 1:2.6 ἐν PREP 1722 ἐν ! ἐν
2PE 1:2.7 ἐπιγνώσει N-DSF 1922 ἐπίγνωσις ! ἐπίγνωσις
2PE 1:2.8 τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:2.9 θεοῦ N-GSM 2316 θεός ! θεός
2PE 1:2.10 καὶ CONJ 2532 καί ! καί
2PE 1:2.11 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:2.12 τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:2.13 κυρίου N-GSM 2962 κύριος ! κύριος
2PE 1:2.14 ἡμῶν. P-1GP 2248 ἡμᾶς ! ἐγώ
2PE 1:3.1 Ὡς ADV 5613 ὡς ! ὡς
2PE 1:3.2 τὰ T-APN 3588 ὁ ! ὁ
2PE 1:3.3 πάντα A-APN 3956 πᾶς ! πᾶς
2PE 1:3.4 ἡμῖν P-1DP 2248 ἡμᾶς ! ἐγώ
2PE 1:3.5 τῆς T-GSF 3588 ὁ ! ὁ
2PE 1:3.6 θείας A-GSF 2304 θεῖος ! θεῖος
2PE 1:3.7 δυνάμεως N-GSF 1411 δύναμις ! δύναμις
2PE 1:3.8 αὐτοῦ P-GSM 846 αὐτός ! αὐτός
2PE 1:3.9 τὰ T-APN 3588 ὁ ! ὁ
2PE 1:3.10 πρὸς PREP 4314 πρός ! πρός
2PE 1:3.11 ζωὴν N-ASF 2222 ζωή ! ζωή
2PE 1:3.12 καὶ CONJ 2532 καί ! καί
2PE 1:3.13 εὐσέβειαν N-ASF 2150 εὐσέβεια ! εὐσέβεια
2PE 1:3.14 δεδωρημένης V-RPP-GSF 1433 δωρέομαι ! δωρέομαι
2PE 1:3.15 διὰ PREP 1223 διά ! διά
2PE 1:3.16 τῆς T-GSF 3588 ὁ ! ὁ
2PE 1:3.17 ἐπιγνώσεως N-GSF 1922 ἐπίγνωσις ! ἐπίγνωσις
2PE 1:3.18 τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:3.19 καλέσαντος V-AAP-GSM 2564 καλέω ! καλέω
2PE 1:3.20 ἡμᾶς P-1AP 2248 ἡμᾶς ! ἐγώ
2PE 1:3.21 ἰδίᾳ A-DSF 2398 ἴδιος ! ἴδιος
2PE 1:3.22 δόξῃ N-DSF 1391 δόξα ! δόξα
2PE 1:3.23 καὶ CONJ 2532 καί ! καί
2PE 1:3.24 ἀρετῇ, N-DSF 703 ἀρετή ! ἀρετή
2PE 1:4.1 δι’ PREP 1223 διά ! διά
2PE 1:4.2 ὧν R-GPF 3739 ὅς ! ὅς
2PE 1:4.3 τὰ T-NPN 3588 ὁ ! ὁ
2PE 1:4.4 τίμια A-NPN 5093 τίμιος ! τίμιος
2PE 1:4.5 ἡμῖν P-1DP 2248 ἡμᾶς ! ἐγώ
2PE 1:4.6 καὶ CONJ 2532 καί ! καί
2PE 1:4.7 μέγιστα A-NPN-S 3173 μέγας ! μέγας
2PE 1:4.8 ἐπαγγέλματα N-NPN 1862 ἐπάγγελμα ! ἐπάγγελμα
2PE 1:4.9 δεδώρηται, V-RPI-3S 1433 δωρέομαι ! δωρέομαι
2PE 1:4.10 ἵνα CONJ 2443 ἵνα ! ἵνα
2PE 1:4.11 διὰ PREP 1223 διά ! διά
2PE 1:4.12 τούτων D-GPN 3778 οὗτος ! οὗτος
2PE 1:4.13 γένησθε V-2ADS-2P 1096 γίνομαι ! γίνομαι
2PE 1:4.14 θείας A-GSF 2304 θεῖος ! θεῖος
