2TH 1:1.1 Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
2TH 1:1.2 καὶ CONJ 2532 καί ! καί
2TH 1:1.3 Σιλουανὸς N-NSM 4610 Σιλουανός ! Σιλουανός
2TH 1:1.4 καὶ CONJ 2532 καί ! καί
2TH 1:1.5 Τιμόθεος N-NSM 5095 Τιμόθεος ! Τιμόθεος
2TH 1:1.6 τῇ T-DSF 3588 ὁ ! ὁ
2TH 1:1.7 ἐκκλησίᾳ N-DSF 1577 ἐκκλησία ! ἐκκλησία
2TH 1:1.8 Θεσσαλονικέων N-GPM 2331 Θεσσαλονικεύς ! Θεσσαλονικεύς
2TH 1:1.9 ἐν PREP 1722 ἐν ! ἐν
2TH 1:1.10 θεῷ N-DSM 2316 θεός ! θεός
2TH 1:1.11 πατρὶ N-DSM 3962 πατήρ ! πατήρ
2TH 1:1.12 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2TH 1:1.13 καὶ CONJ 2532 καί ! καί
2TH 1:1.14 κυρίῳ N-DSM 2962 κύριος ! κύριος
2TH 1:1.15 Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:1.16 Χριστῷ. N-DSM 5547 Χριστός ! Χριστός
2TH 1:2.1 χάρις N-NSF 5485 χάρις ! χάρις
2TH 1:2.2 ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2TH 1:2.3 καὶ CONJ 2532 καί ! καί
2TH 1:2.4 εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
2TH 1:2.5 ἀπὸ PREP 575 ἀπό ! ἀπό
2TH 1:2.6 θεοῦ N-GSM 2316 θεός ! θεός
2TH 1:2.7 πατρὸς N-GSM 3962 πατήρ ! πατήρ
2TH 1:2.8 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
2TH 1:2.9 καὶ CONJ 2532 καί ! καί
2TH 1:2.10 κυρίου N-GSM 2962 κύριος ! κύριος
2TH 1:2.11 Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2TH 1:2.12 Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
2TH 1:3.1 Εὐχαριστεῖν V-PAN 2168 εὐχαριστέω ! εὐχαριστέω
2TH 1:3.2 ὀφείλομεν V-PAI-1P 3784 ὀφείλω ! ὀφείλω
2TH 1:3.3 τῷ T-DSM 3588 ὁ ! ὁ
2TH 1:3.4 θεῷ N-DSM 2316 θεός ! θεός
2TH 1:3.5 πάντοτε ADV 3842 πάντοτε ! πάντοτε
2TH 1:3.6 περὶ PREP 4012 περί ! περί
2TH 1:3.7 ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
2TH 1:3.8 ἀδελφοί, N-VPM 80 ἀδελφός ! ἀδελφός
2TH 1:3.9 καθὼς ADV 2531 καθώς ! καθώς
2TH 1:3.10 ἄξιόν A-NSN 514 ἄξιος ! ἄξιος
2TH 1:3.11 ἐστιν, V-PAI-3S 1510 εἰμί ! εἰμί
2TH 1:3.12 ὅτι CONJ 3754 ὅτι ! ὅτι
2TH 1:3.13 ὑπεραυξάνει V-PAI-3S 5232 ὑπεραυξάνω ! ὑπεραυξάνω
2TH 1:3.14 ἡ T-NSF 3588 ὁ ! ὁ
2TH 1:3.15 πίστις N-NSF 4102 πίστις ! πίστις
2TH 1:3.16 ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2TH 1:3.17 καὶ CONJ 2532 καί ! καί
2TH 1:3.18 πλεονάζει V-PAI-3S 4121 πλεονάζω ! πλεονάζω
2TH 1:3.19 ἡ T-NSF 3588 ὁ ! ὁ
2TH 1:3.20 ἀγάπη N-NSF 26 ἀγάπη ! ἀγάπη
2TH 1:3.21 ἑνὸς A-GSM 1520 εἷς ! εἷς
